first_name,last_name,email,phone_no
Aarav,Sharma,aaravsharma@rediffmail.com,7911087035
Vihaan,Gupta,vihaangupta@gmail.com,7370375915
Vivaan,Kumar,vivaankumar40@gmail.com,7645985538
Aditya,Mishra,adityamishra5@rediffmail.com,8380741409
Krishna,Yadav,krishnayadav182@rediffmail.com,7983232100
Sai,Patel,saipatel7@rediffmail.com,9608057555
Arjun,Mehta,arjunmehta4@gmail.com,8773077395
Aryan,Singh,aryansingh52068@yahoo.com,7686418579
Ishaan,Sinha,ishaansinha7861@gmail.com,8225099935
Shaurya,Verma,shauryaverma43@yahoo.com,9840728770
Ayaan,Reddy,ayaanreddy26157@gmail.com,8260601962
Kabir,Iyer,kabiriyer0@gmail.com,9988485707
Dhruv,Joshi,dhruvjoshi743@yahoo.com,8707048062
Ritvik,Deshmukh,ritvikdeshmukh8577@rediffmail.com,9627843367
Advait,Nair,advaitnair@rediffmail.com,9601800097
Nikhil,Chaudhary,nikhilchaudhary03@gmail.com,8888708982
Harsh,Saxena,harshsaxena871@rediffmail.com,6551846078
Aniket,Menon,aniketmenon36@rediffmail.com,9591963762
Omkar,Rao,omkarrao66265@gmail.com,9268300043
Rohan,Chatterjee,rohanchatterjee01@rediffmail.com,8139614109
Tanmay,Banerjee,tanmaybanerjee5247@rediffmail.com,7409041080
Pranav,Shukla,pranavshukla0@rediffmail.com,9837983337
Rishabh,Goyal,rishabhgoyal0@yahoo.com,8022279492
Siddharth,Bhatt,siddharthbhatt67@yahoo.com,9040930508
Anshuman,Shetty,anshumanshetty38242@rediffmail.com,9477172903
Anurag,Kapoor,anuragkapoor85@rediffmail.com,8444571435
Aryan,Tiwari,aryantiwari47@gmail.com,9145031110
Kunal,Bhatia,kunalbhatia08366@yahoo.com,8936403297
Madhav,Reddy,madhavreddy15565@rediffmail.com,7705315676
Rudra,Malhotra,rudramalhotra@yahoo.com,8648716253
Raghav,Nair,raghavnair@gmail.com,8878986506
Rahul,Das,rahuldas77132@gmail.com,6812040215
Akshay,Kulkarni,akshaykulkarni4015@gmail.com,8480094100
Manav,Chauhan,manavchauhan7@gmail.com,6919498831
Neeraj,Pandey,neerajpandey1@gmail.com,9027277908
Rajesh,Reddy,rajeshreddy2@yahoo.com,7842761992
Ravi,Shankar,ravishankar742@gmail.com,9812288794
Sarvesh,Kaur,sarveshkaur5755@gmail.com,7347793767
Saurabh,Bose,saurabhbose622@gmail.com,8351751758
Shivam,Sen,shivamsen@yahoo.com,9839375933
Tarun,Joshi,tarunjoshi@gmail.com,7398478757
